사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2024-03,4호선,0433,사당,177,67,"10,692","1,224","26,914","18,356","71,801","27,388","82,091","38,559","67,211","30,841","47,870","27,637","40,189","37,397","42,324","36,903","41,794","32,012","41,592","32,091","40,460","37,510","43,773","52,497","50,308","72,764","54,829","100,869","37,924","65,298","36,176","40,482","38,079","37,063","33,729","34,491","16,259","22,446","1,807","6,285",3,583,0,0,0,0
2024-03,4호선,0434,남태령,17,0,592,59,"1,079","1,631","2,796","5,653","4,598","5,367","3,119","1,864","2,450","1,437","2,517","1,301","2,539","1,526","2,273","1,524","2,250","1,471","2,680","1,746","3,534","1,943","4,907","1,914","3,991","2,197","1,816","2,006","1,780","1,523",771,"1,198",421,"1,080",194,634,21,200,0,0,0,0,0,0
2024-03,경부선,1001,서울역,15,5,56,590,136,"4,862","13,212","7,716","22,658","8,558","18,936","6,997","18,486","5,683","19,609","3,172","20,110","5,133","19,712","4,993","9,956","4,748","22,558","5,571","22,799","6,327","21,943","10,093","24,769","10,529","22,569","7,038","16,934","4,963","19,444","4,599","17,345","3,715","8,179",905,"1,163",39,0,2,0,0,0,0
2024-03,경부선,1002,남영,99,3,"2,337","1,604","4,862","8,886","14,343","26,069","20,828","50,861","12,933","30,145","10,174","17,028","11,115","14,139","12,768","13,185","13,099","14,068","14,271","12,907","17,562","13,548","23,671","15,859","32,544","19,429","40,050","25,992","19,064","16,827","16,779","11,394","16,592","10,163","12,539","9,367","4,941","5,522",274,"1,238",0,0,0,0,0,0
2024-03,경부선,1003,용산,354,15,"6,362","5,589","6,659","40,494","22,852","81,773","35,013","150,133","43,465","122,188","40,546","84,960","58,643","79,109","55,079","83,616","66,085","83,570","54,359","81,266","99,794","86,139","111,372","87,111","129,331","90,285","165,116","92,151","113,107","64,879","109,951","44,374","107,130","30,161","75,550","17,654","26,860","8,585","1,160","2,579",0,0,0,0,0,0
2024-03,경부선,1004,노량진,389,7,"4,650","2,032","7,130","5,734","18,250","8,040","23,446","14,241","14,080","11,235","11,477","9,492","12,807","12,812","13,789","12,875","15,434","12,559","15,649","12,207","15,978","14,451","16,812","18,308","18,568","26,010","18,472","38,419","14,535","22,204","14,313","13,657","14,967","12,533","14,016","11,041","5,152","6,940",285,"1,440",0,0,0,0,0,0
2024-03,경부선,1005,대방,492,9,"5,185","2,042","9,540","8,103","26,023","31,106","31,826","42,962","20,245","23,140","15,770","13,132","14,859","12,428","16,104","13,049","15,692","15,359","16,034","13,638","16,855","15,849","17,030","18,624","28,762","25,661","35,448","34,936","14,001","22,360","10,789","16,472","9,487","15,598","6,514","13,840","1,936","8,580",125,"2,069",0,0,0,0,0,0
2024-03,경부선,1006,영등포,"3,817",92,"16,464","6,661","16,417","24,663","42,050","58,071","59,179","129,626","42,847","94,728","43,351","78,528","49,288","89,788","57,028","98,152","61,725","102,701","65,216","89,370","94,391","85,483","108,531","86,463","126,939","98,026","164,519","115,889","103,246","74,298","100,857","42,923","79,673","33,183","63,453","27,903","25,540","16,053",804,"4,485",0,0,0,0,0,0
2024-03,경부선,1007,신도림,361,9,"2,060",749,"3,415","2,789","9,052","6,744","10,870","15,186","6,377","7,746","5,170","5,601","5,095","5,670","5,249","5,882","5,608","6,438","5,573","5,974","6,127","6,821","7,163","8,031","10,183","10,106","14,051","13,816","6,737","8,111","5,673","4,864","5,559","4,481","4,430","3,688","1,744","2,294",78,"1,290",2,1,0,0,0,0
2024-03,경부선,1032,신길,604,2,"9,768","1,854","11,088","5,510","24,485","17,531","33,405","26,126","19,580","10,525","12,797","7,328","11,437","6,939","13,792","7,724","11,938","9,176","10,664","9,012","11,675","10,765","14,436","13,527","19,402","17,189","27,984","23,187","10,832","16,660","8,457","12,473","7,452","12,675","5,388","11,166","2,016","6,254",132,"1,739",0,0,0,0,0,0
2024-03,경부선,1701,구로,"11,143",22,"22,832","4,063","18,601","12,731","39,611","30,424","38,309","67,133","28,898","39,834","22,954","29,896","22,836","26,315","24,804","25,375","26,183","26,169","26,720","25,410","30,764","28,393","35,053","33,661","51,095","40,391","56,156","44,414","26,281","30,909","21,125","21,787","17,984","21,069","12,356","18,759","4,874","13,710",38,"12,064",0,11,0,0,0,0
2024-03,경부선,1702,가산디지털단지,"1,299",13,"7,681","2,962","7,368","11,601","14,947","54,490","16,903","144,070","12,849","73,494","11,453","23,413","13,054","16,792","15,160","17,114","16,530","17,654","17,607","17,551","20,549","17,364","28,731","20,693","69,011","25,883","102,877","29,820","42,134","21,022","25,705","15,026","21,002","13,178","14,586","12,259","6,082","7,407",267,"1,175",1,0,0,0,0,0
2024-03,경부선,1703,금천구청,471,6,"11,448","1,529","19,255","6,171","46,068","15,838","43,839","30,283","27,429","11,799","20,547","10,529","18,636","10,998","18,478","12,909","17,033","15,327","15,469","14,778","15,151","19,757","16,888","24,326","17,813","31,851","27,361","44,972","11,333","34,687","8,636","18,851","7,012","18,377","4,570","15,651","1,472","9,950",53,695,0,0,0,0,0,0
2024-03,경부선,1704,석수,275,2,"7,460","2,505","16,513","6,339","36,929","12,009","35,523","14,985","21,643","11,504","16,241","9,374","13,754","6,570","13,815","7,957","12,605","8,774","11,527","9,334","13,066","12,240","14,532","15,409","17,420","22,761","16,304","31,988","9,292","25,312","6,418","16,273","5,052","15,198","3,497","13,533","1,401","8,104",66,491,0,0,0,0,0,0
2024-03,경부선,1705,관악,163,3,"8,244","2,199","13,523","4,000","34,311","6,459","29,990","12,055","16,864","11,737","12,300","10,584","11,278","7,726","12,426","8,258","12,053","8,095","11,205","8,628","11,657","10,390","12,614","13,265","13,210","19,323","11,896","28,136","6,853","22,034","5,269","13,477","4,510","12,740","2,592","10,610","1,167","7,545",100,572,0,0,0,0,0,0
2024-03,경부선,1706,안양,360,1,"15,821","4,079","33,605","14,744","84,317","21,286","75,310","56,507","45,307","57,130","34,892","37,017","34,555","36,747","41,150","35,587","39,703","42,274","39,331","33,127","49,846","41,145","62,631","47,704","62,095","60,684","44,314","90,022","28,075","65,364","25,784","39,499","24,725","33,029","20,428","27,003","9,088","19,710",433,"2,234",0,0,0,0,0,0
2024-03,경부선,1707,명학,121,5,"6,404","2,427","11,035","9,188","26,832","25,961","22,022","57,376","13,109","15,135","9,762","10,858","10,526","14,584","10,996","8,811","11,172","10,930","13,653","9,714","13,016","7,966","18,452","10,655","31,569","13,072","38,081","21,385","13,695","17,671","11,506","9,994","7,435","8,861","4,688","8,626","2,152","6,148",135,"1,318",0,0,0,0,0,0
2024-03,경부선,1708,금정,438,17,"24,061","5,389","38,827","20,759","94,617","45,943","93,359","93,792","59,101","36,183","43,164","24,519","38,964","26,301","39,883","28,161","37,310","31,644","34,334","32,642","36,601","42,241","43,991","52,253","68,194","70,701","77,918","99,081","37,689","78,254","29,597","48,043","24,697","46,988","17,883","40,186","8,010","26,611",601,"10,198",0,0,0,0,0,0
2024-03,경부선,1709,군포,19,0,"4,964","2,314","8,655","9,054","19,281","34,095","17,855","40,761","10,602","9,174","8,354","5,336","8,234","4,962","8,843","5,622","7,892","6,377","7,490","6,262","8,133","7,960","11,004","8,798","24,225","11,740","33,988","16,159","11,308","12,357","9,812","7,890","5,470","6,922","2,708","6,312","1,267","3,826",85,689,0,0,0,0,0,0
2024-03,경부선,1710,의왕,67,1,"6,620","4,021","14,046","14,267","30,902","32,803","28,999","28,651","15,903","11,942","12,478","7,864","12,126","7,852","12,983","8,934","11,365","9,822","11,835","9,236","14,283","12,018","21,773","15,228","29,531","18,398","23,869","29,474","13,927","21,078","8,935","14,615","7,085","12,874","4,499","10,924","1,775","7,574",99,"1,282",0,1,0,0,0,0
2024-03,경부선,1711,성균관대,236,5,"9,203","2,330","29,498","7,721","70,944","10,986","58,571","30,072","32,038","21,810","25,144","18,408","23,241","18,120","25,145","17,945","23,547","21,225","21,290","19,893","23,554","23,220","31,282","31,544","31,658","44,180","28,576","64,126","18,212","52,920","15,373","33,135","13,766","29,577","11,589","25,537","5,758","17,410",307,"2,874",0,0,0,0,0,0
2024-03,경부선,1712,화서,391,22,"9,417","1,101","24,574","4,647","48,146","7,317","37,837","14,421","18,059","14,690","13,901","19,286","13,841","27,409","14,792","29,929","16,717","34,136","21,280","30,131","27,424","29,534","33,442","29,463","34,629","34,087","32,100","48,486","25,626","35,708","20,542","20,145","18,794","14,968","14,827","13,884","2,097","8,566",99,"1,742",0,0,0,0,0,0
2024-03,경부선,1713,수원,"1,966",102,"21,454","4,512","38,193","31,990","80,391","56,009","77,715","83,953","56,165","75,788","50,668","72,433","56,830","73,695","63,107","88,368","63,825","80,976","65,542","79,758","84,379","82,696","103,528","99,281","102,088","112,250","109,368","138,418","82,298","101,348","87,206","61,589","67,268","47,104","59,086","38,464","22,698","24,092",727,"7,965",0,0,0,0,0,0
2024-03,경부선,1714,독산,613,3,"8,430","2,336","19,533","12,108","49,767","45,933","46,370","97,958","26,716","45,932","21,077","15,958","19,867","12,853","21,362","13,676","19,921","15,063","18,975","14,267","19,802","18,362","30,143","22,309","59,309","31,267","70,049","47,531","30,251","36,819","17,916","22,385","12,780","23,063","8,130","21,286","2,868","12,657",102,918,0,0,0,0,0,0
2024-03,경부선,1715,세류,525,0,"4,236","1,216","9,717","2,751","16,236","4,215","11,887","4,134","6,525","2,893","5,354","3,159","5,008","3,413","4,638","3,539","4,561","3,670","4,241","3,981","4,616","4,806","6,559","7,039","7,045","8,768","5,586","13,025","3,389","9,964","2,619","6,970","2,288","6,709","1,424","5,137",446,"2,979",11,964,1,1,0,0,0,0
2024-03,경부선,1716,병점,"3,722",24,"8,178","3,510","30,418","11,942","58,519","22,124","49,837","37,269","34,503","19,725","29,521","18,327","27,613","18,439","29,389","22,603","24,839","19,512","25,350","22,791","28,579","28,368","33,921","35,971","36,921","48,453","35,612","55,497","23,520","46,736","15,559","35,265","13,475","27,543","9,700","26,167","3,272","17,991",49,"7,319",0,0,0,0,0,0
2024-03,경부선,1717,세마,297,1,"2,145","1,524","5,928","3,870","11,023","5,402","10,711","10,878","7,165","2,699","5,271","2,164","4,933","2,673","4,771","2,614","5,132","3,456","4,313","3,710","5,278","3,692","7,613","6,959","7,754","8,929","8,742","9,572","3,602","8,470","2,469","5,853","2,119","5,514","1,390","4,785",612,"2,560",61,249,0,0,0,0,0,0
2024-03,경부선,1718,오산대,360,0,"3,097","1,341","7,263","2,861","14,973","4,427","11,114","11,749","7,379","5,370","6,032","4,621","5,641","4,040","5,997","4,032","6,302","5,041","5,841","5,164","7,401","4,843","9,867","7,308","9,677","10,369","9,208","14,054","4,199","10,793","3,502","6,702","3,463","5,836","2,354","4,923","1,155","3,022",96,320,0,0,0,0,0,0
2024-03,경부선,1719,오산,469,1,"7,930","2,198","16,186","10,660","28,635","28,426","30,306","21,415","22,761","15,851","20,584","12,871","19,432","12,052","20,450","15,316","17,822","16,293","18,051","16,303","19,551","20,649","24,098","27,019","26,968","31,336","27,909","34,899","15,970","25,813","12,963","19,796","8,947","16,641","5,989","11,128","2,278","8,661",112,788,0,0,0,0,0,0
2024-03,경부선,1720,진위,18,1,839,281,"1,810","2,450","3,403","8,574","2,933","7,930","2,331","2,602","1,933","2,335","1,962","1,372","1,967","1,284","2,015","1,366","1,963","1,288","4,155","1,685","4,277","2,170","7,514","2,701","8,642","2,821","3,020","2,645","1,597","1,745","1,024","1,621",646,"1,188",267,925,12,58,0,0,0,0,0,0
2024-03,경부선,1721,송탄,59,3,"5,342",927,"8,343","3,482","13,678","6,132","13,217","9,851","10,411","4,834","9,139","4,274","9,217","4,792","8,635","5,843","8,427","5,869","7,133","7,102","8,389","8,221","10,607","10,361","10,353","13,823","9,948","13,746","5,999","13,220","4,381","10,929","3,604","8,638","2,316","7,663",975,"6,697",54,480,0,0,0,0,0,0
2024-03,경부선,1722,서정리,41,6,"4,682","4,798","12,432","9,319","19,390","17,653","19,095","24,228","15,796","11,059","14,138","7,911","13,785","8,526","14,556","10,847","12,280","11,641","12,995","11,229","15,998","14,004","23,570","19,310","40,043","23,377","23,173","20,494","13,045","20,719","10,053","16,203","7,517","12,108","4,702","12,605","2,463","8,540",94,825,0,0,0,0,0,0
2024-03,경부선,1723,평택지제,7,0,"2,896","7,019","5,373","10,125","12,934","12,916","11,812","7,614","8,211","5,205","6,825","3,926","6,558","4,741","7,052","5,162","5,079","4,453","5,790","4,987","8,544","6,457","9,107","8,422","16,695","10,885","10,369","10,764","8,500","10,453","6,353","7,410","4,812","6,523","4,978","6,196","2,284","3,679",36,399,0,0,0,0,0,0
2024-03,경부선,1724,평택,81,6,"7,833","3,029","14,515","8,791","31,055","16,530","33,376","28,482","30,666","24,011","26,010","20,366","24,105","23,576","25,909","25,804","25,893","25,024","25,621","28,009","27,772","30,996","32,343","37,992","36,638","47,518","33,179","43,221","23,357","27,004","23,561","25,179","16,174","18,289","13,723","14,055","7,284","7,828",114,"2,541",0,0,0,0,0,0
2024-03,경부선,1725,성환,8,0,"2,097",864,"3,750","2,820","7,529","14,018","7,006","25,111","7,585","29,152","7,532","11,102","8,421","7,083","11,110","11,431","13,422","10,442","12,262","6,188","19,883","6,887","27,296","8,464","25,746","9,113","16,962","8,975","7,077","7,262","6,366","6,880","4,110","6,358","2,545","5,976","1,010","4,726",91,"1,087",0,0,0,0,0,0
2024-03,경부선,1726,직산,28,0,861,307,"1,481","1,303","2,349","3,214","2,485","3,742","1,903","1,390","1,647","1,070","1,610",996,"1,527","1,279","1,499","1,212","1,323","1,277","1,647","1,308","1,779","1,806","3,775","2,343","3,517","2,230","1,215","2,230",891,"1,278",780,"1,123",334,991,176,852,26,161,0,0,0,0,0,0
2024-03,경부선,1727,두정,"1,176",6,"5,970","1,529","9,625","4,091","19,764","13,977","18,614","28,794","17,960","26,653","13,151","19,037","13,861","14,577","17,327","16,999","15,986","14,222","15,297","12,567","18,105","12,474","20,992","17,205","23,446","22,605","20,838","26,264","13,579","18,661","10,474","14,789","10,251","11,703","6,753","11,350","2,987","8,827",51,"2,345",0,0,0,0,0,0
2024-03,경부선,1728,천안,"1,590",3,"3,030",847,"5,528","3,232","12,827","7,214","12,115","18,004","16,376","16,534","12,571","13,698","14,701","15,711","14,949","15,948","14,982","14,678","20,812","13,672","22,673","15,388","25,911","15,761","22,859","22,617","19,325","21,433","13,056","12,983","9,457","10,320","7,471","7,533","4,234","5,544","2,444","3,751",27,"2,236",0,0,0,0,0,0
2024-03,경부선,1729,당정,20,0,"4,213","1,081","11,106","3,006","26,710","9,490","23,543","17,790","13,907","11,365","9,873","7,674","10,058","5,518","11,228","6,683","9,474","6,813","9,291","6,796","10,429","8,336","11,967","10,892","13,743","14,714","15,113","21,981","6,246","17,703","5,009","12,292","4,093","10,056","3,297","10,297","1,286","6,640",83,"1,206",0,0,0,0,0,0
2024-03,경부선,1749,서동탄,3,0,"1,377",5,"5,710",911,"11,014","1,608","4,498","1,375","3,050",817,"2,279",764,"2,322","1,223","1,954","1,147","1,697","1,241","1,634","1,459","2,099","2,467","1,848","2,718","1,952","3,567","2,338","6,100",996,"5,832",829,"2,827",523,"2,173",474,"2,627",136,"1,576",2,"1,269",0,0,0,0,0,0
2024-03,경부선,1750,광명,0,0,25,"1,549","3,678","3,117","11,199","6,922","10,326","7,597","7,514","6,259","4,724","4,420","8,353","2,993","5,934","8,590","5,697",177,"3,966","8,878","7,413","4,778","7,681","5,434","9,533","7,632","10,670","12,547","9,295","7,345","3,278","4,800","8,041","3,157","2,780","4,933","1,227",49,1,1,0,0,0,0,0,0
2024-03,경인선,1801,개봉,"1,435",8,"19,102","5,966","40,158","11,755","94,462","14,319","87,256","22,936","56,117","21,028","41,780","18,121","36,823","20,822","36,811","25,123","33,168","27,379","29,423","29,823","29,425","38,805","32,014","50,169","33,120","64,838","30,492","87,929","19,369","68,043","15,245","44,594","12,247","40,147","9,869","33,382","3,793","19,415",68,"1,746",0,0,0,0,0,0
2024-03,경인선,1802,오류동,430,3,"12,899","1,890","20,137","5,332","49,803","5,644","49,637","12,182","33,188","10,435","25,324","9,054","22,649","10,025","21,979","12,843","19,531","14,675","16,581","16,088","16,066","19,980","16,807","23,860","16,751","31,499","14,467","46,130","9,231","36,727","6,886","25,679","5,991","22,543","4,004","20,773","1,899","13,521",58,"1,726",0,0,0,0,0,0
2024-03,경인선,1803,역곡,937,14,"28,406","3,042","46,316","10,493","113,315","14,375","110,994","40,183","66,130","40,674","46,258","27,237","41,844","29,768","44,098","31,745","42,895","33,078","36,929","36,778","40,024","42,406","45,798","59,107","46,127","76,811","40,405","113,357","25,271","91,105","20,191","53,006","17,732","52,085","15,555","42,090","6,995","29,581",386,"3,784",0,0,0,0,0,0
2024-03,경인선,1804,부천,"2,867",24,"39,983","3,910","42,188","12,048","99,122","17,659","98,784","50,749","64,934","46,063","49,535","45,577","51,282","43,274","54,704","53,265","53,450","58,804","53,190","54,728","59,113","60,908","64,135","69,368","63,527","94,960","60,272","115,365","39,708","93,614","34,618","58,079","31,947","50,848","25,645","41,638","12,239","27,801",866,"5,095",0,0,0,0,0,0
2024-03,경인선,1805,송내,"1,527",6,"17,349","7,753","39,386","16,305","106,151","30,425","89,164","77,197","55,199","40,793","41,300","24,774","40,023","22,934","38,411","26,064","36,163","28,889","32,269","28,284","35,357","35,136","40,121","45,368","49,830","62,593","74,582","91,946","29,928","81,998","23,041","49,545","19,342","43,266","14,860","37,761","6,823","23,299",638,"3,533",0,0,0,0,0,0
2024-03,경인선,1806,부평,"8,721",105,"23,842","5,158","36,276","11,623","84,052","19,553","79,727","32,704","50,059","39,084","42,115","36,268","42,994","42,512","47,050","50,566","46,377","56,075","46,858","57,105","53,253","58,422","57,771","73,717","60,067","90,747","55,339","119,956","43,194","95,637","39,389","56,274","37,551","47,307","33,087","37,744","17,958","24,931","2,768","7,335",0,1,0,0,0,0
2024-03,경인선,1807,백운,90,1,"8,922","1,314","15,545","2,570","31,858","4,170","29,049","9,533","18,008","6,966","14,564","6,052","13,702","7,919","13,161","8,747","12,090","9,479","10,634","10,161","10,529","12,849","11,158","16,175","10,739","20,723","9,068","26,181","5,148","25,955","4,070","15,026","4,150","13,930","2,730","12,034","1,302","7,581",116,"2,451",0,0,0,0,0,0
2024-03,경인선,1808,동암,543,6,"21,367","2,921","30,662","7,509","60,688","12,960","57,755","16,630","36,222","14,765","29,196","14,143","26,149","17,250","27,767","20,262","25,467","19,814","22,219","21,805","22,364","26,235","23,472","34,866","24,537","47,651","21,765","59,008","14,289","51,950","11,903","34,279","10,580","30,770","7,880","27,247","4,053","15,688",373,"4,840",0,0,0,0,0,0
2024-03,경인선,1809,주안,809,38,"14,807","3,752","29,804","8,406","61,098","19,795","57,907","30,611","37,609","27,355","30,469","20,176","32,758","20,911","34,838","25,340","33,072","22,295","29,442","25,911","34,905","26,037","36,318","36,392","40,677","42,935","38,514","58,941","24,405","57,598","21,196","34,016","20,418","30,196","16,263","28,189","8,580","19,699",797,"5,923",0,0,0,0,0,0
2024-03,경인선,1810,제물포,906,5,"8,065","2,361","16,656","6,017","37,539","15,122","33,091","37,545","20,465","17,897","16,547","10,771","17,599","10,010","18,097","13,378","17,092","13,888","15,638","12,615","22,059","14,858","27,138","19,573","25,050","23,445","24,993","31,094","10,409","29,342","8,047","17,341","6,941","15,458","4,384","15,427","1,787","10,297",69,"3,148",0,0,0,0,0,0
2024-03,경인선,1811,동인천,"1,623",10,"7,941","2,625","18,446","10,807","44,562","22,144","35,625","30,717","23,382","16,423","21,778","18,264","22,550","20,835","23,878","21,123","23,930","23,436","23,796","21,779","27,610","23,043","31,689","27,936","37,461","30,787","37,964","36,248","18,192","34,324","13,468","21,705","10,645","17,450","6,754","16,408","2,546","10,144",7,"3,563",0,0,0,0,0,0
2024-03,경인선,1812,인천,324,1,"1,124",912,"3,300","2,711","6,263","6,399","5,385","8,783","3,639","4,838","3,910","6,513","4,521","9,442","6,181","10,439","7,973","8,664","10,245","7,509","12,455","6,199","14,573","4,929","14,787","4,555","13,353","4,401","6,358","3,082","4,668","2,426","2,871","2,056","1,608","1,888",505,"1,362",11,"1,018",0,3,0,0,0,0
2024-03,경인선,1813,구일,213,18,"4,284","1,923","10,424","6,181","27,085","9,419","23,027","16,301","14,527","18,188","11,804","11,081","11,507","11,601","12,565","10,732","11,196","13,668","12,268","12,067","19,727","17,660","22,114","22,660","18,592","29,000","13,104","34,414","9,455","20,577","7,509","12,328","18,086","11,663","15,705","9,225","5,331","6,496",64,624,0,0,0,0,0,0
2024-03,경인선,1814,소사,995,14,"13,710","2,982","13,201","5,382","27,724","7,561","25,588","12,215","18,841","10,029","15,383","10,847","13,701","9,472","14,957","11,397","13,982","11,201","12,642","11,263","12,948","13,220","15,210","16,407","14,253","19,556","12,299","24,648","7,138","20,201","4,878","14,169","4,241","12,613","2,728","11,170","1,163","7,736",85,"2,023",0,0,0,0,0,0
2024-03,경인선,1815,부개,"2,319",10,"10,802","1,631","17,217","3,397","40,801","6,385","33,543","10,968","21,058","6,810","16,164","6,444","14,914","8,090","15,106","9,883","13,826","10,507","11,133","11,949","11,155","14,086","12,885","18,680","11,850","24,016","11,585","30,885","6,614","25,763","4,704","16,994","3,884","15,656","2,629","12,863","1,552","9,117",204,"2,157",0,0,0,0,0,0
2024-03,경인선,1816,간석,296,15,"6,086","1,349","11,534","2,839","22,745","4,557","20,108","9,841","12,399","5,419","10,397","5,507","9,788","5,979","10,411","6,721","9,625","7,806","8,625","8,252","9,332","9,826","10,152","12,432","9,431","14,531","9,591","19,501","5,194","18,009","4,285","10,972","3,873","8,885","2,925","8,153","1,253","5,798",165,"2,027",0,0,0,0,0,0
2024-03,경인선,1817,도원,531,5,"2,234","1,240","3,831","2,121","7,806","7,515","7,424","20,424","5,203","3,941","4,727","4,784","5,363","4,147","5,711","4,909","5,948","6,802","5,411","5,714","8,588","6,997","14,186","7,186","9,681","6,202","11,965","6,799","3,402","6,014","2,507","4,469","1,928","3,409",838,"3,130",386,"2,303",25,"1,214",0,6,0,0,0,0
2024-03,경인선,1821,온수(성공회대입구),153,4,"5,311","1,361","8,606","3,549","23,132","9,923","20,767","13,853","14,801","9,387","11,584","6,753","11,593","7,204","13,131","8,234","11,306","8,118","10,354","9,727","12,546","10,286","15,630","12,572","13,575","14,969","10,844","22,355","6,011","17,225","4,417","11,159","5,067","10,180","3,455","9,249","1,880","5,753",140,970,0,0,0,0,0,0
2024-03,경인선,1822,중동,980,25,"11,648","1,047","19,062","3,532","43,925","5,585","34,796","11,891","21,662","8,974","16,561","8,163","15,680","9,107","16,024","11,059","14,686","11,714","12,693","12,177","12,414","14,957","12,612","19,018","13,764","25,205","11,952","33,376","7,178","27,868","5,471","17,928","4,626","15,817","3,084","13,608","1,482","9,109",115,"2,183",0,0,0,0,0,0
2024-03,경인선,1823,도화,291,2,"4,506",871,"7,057","1,820","17,053","3,970","14,661","8,286","9,169","4,093","7,983","4,019","7,714","4,384","7,689","5,842","7,278","6,309","6,659","6,169","6,927","7,386","7,998","9,440","7,688","10,485","7,503","12,092","3,654","10,933","2,874","6,713","2,146","5,788","1,601","5,088",746,"4,221",27,"1,882",0,0,0,0,0,0
2024-03,경원선,1008,이촌(국립중앙박물관),72,4,"1,150",641,"3,749","2,302","9,576","4,623","10,150","8,963","8,867","5,131","7,158","4,372","7,355","4,158","7,490","4,166","7,507","5,289","6,920","4,913","7,850","5,938","9,077","6,659","10,391","7,736","10,376","9,052","5,474","6,804","4,986","4,841","3,948","4,381","2,360","4,393",685,"2,687",76,836,0,0,0,0,0,0
2024-03,경원선,1009,서빙고,71,0,"1,016",634,"2,326","3,933","3,505","4,135","4,178","9,991","3,826","4,353","3,648","3,989","3,217","3,061","3,874","2,828","4,212","4,416","4,250","3,913","5,193","5,402","6,563","4,519","8,681","3,607","7,909","4,302","3,151","3,562","2,395","2,017","2,219","1,904","1,275","1,571",330,"1,015",17,313,0,0,0,0,0,0
2024-03,경원선,1010,한남,146,2,"1,135",903,"1,854","7,453","3,672","10,919","4,536","15,509","4,369","11,069","4,659","6,896","5,100","5,471","5,638","5,856","5,322","5,650","6,858","4,974","8,844","5,298","11,187","6,445","14,831","6,769","15,025","6,781","7,287","5,446","5,566","2,868","5,916","2,843","4,976","2,124","1,849","1,235",85,347,0,0,0,0,0,0
2024-03,경원선,1011,옥수,0,0,0,35,4,77,34,37,155,314,36,39,28,242,35,217,23,83,18,15,44,9,25,14,388,83,475,74,81,27,432,21,63,18,75,18,33,8,13,0,0,0,0,0,0,0,0,0
2024-03,경원선,1012,응봉,140,0,"1,286",196,"2,942","1,224","7,633","1,689","7,597","2,499","5,633","2,400","4,314","3,855","3,810","3,553","3,754","3,338","3,603","4,331","3,793","4,339","3,994","4,418","4,634","4,974","3,941","5,128","3,285","5,762","2,080","5,336","1,371","3,097","1,010","2,728",888,"2,313",310,"1,531",27,517,0,0,0,0,0,0
2024-03,경원선,1013,왕십리(성동구청),755,9,"5,634","1,459","9,063","6,721","28,520","14,004","42,764","24,927","28,219","23,256","19,096","23,636","20,245","24,455","25,439","27,180","29,566","29,256","29,900","27,720","33,965","32,816","40,607","38,362","44,158","51,873","40,287","69,355","33,158","50,817","33,850","30,539","36,607","24,718","34,861","21,967","17,849","13,007","1,608","4,510",0,0,0,0,0,0
2024-03,경원선,1014,청량리(서울시립대입구),"1,199",9,"5,574","1,567","8,202","13,117","32,650","17,835","45,226","24,888","30,207","35,918","33,486","32,033","32,629","42,490","37,256","37,569","36,832","34,408","37,166","40,997","35,798","43,292","48,568","41,855","42,013","41,520","38,931","55,317","29,619","40,828","32,994","24,172","18,585","25,357","11,108","14,977","7,928","8,481",223,"3,907",0,0,0,0,0,0
2024-03,경원선,1016,외대앞,452,30,"5,398","4,343","7,967","12,072","20,468","6,408","24,598","30,822","16,810","13,656","13,533","21,337","15,094","21,226","17,625","18,352","18,570","14,035","20,927","17,857","22,644","15,386","29,714","17,823","34,226","21,779","23,020","27,757","14,859","21,261","13,367","14,989","14,027","14,884","10,982","15,527","5,778","11,942",299,"3,044",0,0,0,0,0,0
2024-03,경원선,1017,신이문,"1,510",15,"8,198","1,882","13,983","5,278","37,337","4,334","39,781","8,443","23,758","6,108","16,713","5,885","15,268","7,470","14,993","9,042","14,217","10,165","11,763","10,956","11,214","16,340","12,581","18,809","11,551","23,004","10,136","32,404","6,156","24,022","3,922","17,094","3,094","14,778","2,226","13,550","1,027","8,407",86,"2,060",0,0,0,0,0,0
2024-03,경원선,1018,석계,"1,230",5,"5,844","1,762","10,454","4,338","21,735","5,233","25,498","9,018","17,978","7,668","15,339","7,622","14,599","9,765","14,512","10,031","14,228","11,673","12,542","12,251","12,245","17,650","13,043","21,720","13,109","26,935","11,615","35,532","8,560","25,781","7,021","17,945","6,819","16,155","6,116","13,480","3,090","8,105",131,"1,965",0,0,0,0,0,0
